model_name,date,session,portfolio_value,daily_return,daily_return_pct,calculated_at
chatgpt,2026-04-23,day,9698.78,-301.22,-3.0122,2026-04-28 04:45:04
claude,2026-04-23,day,9945.26,-54.74,-0.5474,2026-04-28 04:45:04
gemini,2026-04-23,day,9795.12,-204.88,-2.0488,2026-04-28 04:45:05
grok,2026-04-23,day,9646.77,-353.23,-3.5323,2026-04-28 04:45:04
chatgpt,2026-04-24,day,9656.95,-41.83,-0.4313,2026-04-28 04:45:07
claude,2026-04-24,day,10073.56,128.3,1.29,2026-04-28 04:45:07
gemini,2026-04-24,day,10145.49,350.37,3.577,2026-04-28 04:45:07
grok,2026-04-24,day,9933.47,286.7,2.972,2026-04-28 04:45:07
chatgpt,2026-04-24,overnight,9781.11,124.16,1.2857,2026-04-28 04:45:10
claude,2026-04-24,overnight,10100.8,27.24,0.2704,2026-04-28 04:45:10
gemini,2026-04-24,overnight,9880.32,-265.17,-2.6137,2026-04-28 04:45:10
grok,2026-04-24,overnight,9982.06,48.59,0.4892,2026-04-28 04:45:10
